"RegularSeason","Season","Date","HomeTeam","HomeTeamScore","AwayTeam","AwayTeamScore","HomeTeamWin","AwayTeamWin","NeutralTeamWin"
1,"1947","1946","CLR",74,"PIT",78,0,1,0
1,"1947","1946","SLB",65,"BOS",53,1,0,0
1,"1947","1946","PIT",64,"BOS",54,1,0,0
1,"1947","1946","PRO",66,"WCP",78,0,1,0
1,"1947","1946","SLB",55,"DTF",51,1,0,0
1,"1947","1946","PHW",53,"PIT",46,1,0,0
1,"1947","1946","TOR",80,"CHS",88,0,1,0
1,"1947","1946","BOS",60,"PHW",63,0,1,0
1,"1947","1946","PRO",80,"BOS",68,1,0,0
1,"1947","1946","WCP",70,"NYK",49,1,0,0
1,"1947","1946","CLR",79,"CHS",87,0,1,0
1,"1947","1946","SLB",75,"PHW",68,1,0,0
1,"1947","1946","DTF",48,"TOR",52,0,1,0
1,"1947","1946","PIT",60,"PHW",62,0,1,0
1,"1947","1946","BOS",60,"WCP",70,0,1,0
1,"1947","1946","TOR",87,"CHS",76,1,0,0
1,"1947","1946","CLR",59,"SLB",68,0,1,0
1,"1947","1947","CHS",90,"SLB",103,0,1,0
1,"1947","1947","DTF",62,"WCP",57,1,0,0
1,"1947","1947","PIT",48,"CLR",61,0,1,0
1,"1947","1947","PHW",84,"PRO",72,1,0,0
1,"1947","1947","SLB",66,"WCP",57,1,0,0
1,"1947","1947","TOR",53,"BOS",58,0,1,0
1,"1947","1947","PRO",78,"PHW",74,1,0,0
1,"1947","1947","WCP",78,"CLR",64,1,0,0
1,"1947","1947","DTF",50,"NYK",62,0,1,0
1,"1947","1947","SLB",57,"NYK",59,0,1,0
1,"1947","1947","TOR",76,"DTF",61,1,0,0
1,"1947","1947","BOS",53,"CLR",64,0,1,0
1,"1947","1947","PIT",49,"WCP",63,0,1,0
1,"1947","1947","DTF",80,"CHS",83,0,1,0
1,"1947","1947","WCP",77,"PRO",69,1,0,0
1,"1947","1947","PIT",67,"PHW",63,1,0,0
1,"1947","1947","NYK",63,"TOR",76,0,1,0
1,"1947","1947","SLB",84,"CHS",81,1,0,0
1,"1947","1947","PRO",91,"CLR",68,1,0,0
1,"1947","1947","PHW",74,"TOR",55,1,0,0
1,"1947","1947","BOS",66,"NYK",62,1,0,0
1,"1947","1947","PRO",72,"BOS",73,0,1,0
1,"1947","1947","WCP",81,"TOR",66,1,0,0
1,"1947","1947","DTF",58,"PHW",56,1,0,0
1,"1947","1947","CHS",75,"PHW",72,1,0,0
1,"1947","1947","SLB",72,"PIT",59,1,0,0
1,"1947","1947","PIT",50,"NYK",53,0,1,0
1,"1947","1947","CLR",74,"PRO",78,0,1,0
1,"1947","1947","TOR",74,"PHW",104,0,1,0
1,"1947","1947","NYK",63,"WCP",65,0,1,0
1,"1947","1947","DTF",68,"CHS",59,1,0,0
1,"1947","1947","PIT",65,"PRO",53,1,0,0
1,"1947","1947","PHW",78,"CHS",84,0,1,0
1,"1947","1947","SLB",59,"CLR",63,0,1,0
1,"1947","1947","BOS",47,"WCP",38,1,0,0
1,"1947","1947","TOR",64,"DTF",74,0,1,0
1,"1947","1947","WCP",87,"CHS",72,1,0,0
1,"1947","1947","NYK",45,"BOS",58,0,1,0
1,"1947","1947","CLR",79,"NYK",72,1,0,0
1,"1947","1947","SLB",69,"PRO",53,1,0,0
1,"1947","1947","PIT",62,"DTF",57,1,0,0
1,"1947","1947","BOS",54,"CHS",81,0,1,0
1,"1947","1947","TOR",72,"SLB",71,1,0,0
1,"1947","1947","PHW",59,"BOS",43,1,0,0
1,"1947","1947","NYK",74,"CHS",64,1,0,0
1,"1947","1947","WCP",57,"PHW",55,1,0,0
1,"1947","1947","DTF",47,"CLR",61,0,1,0
1,"1947","1947","PHW",83,"CLR",78,1,0,0
1,"1947","1947","CHS",97,"PRO",76,1,0,0
1,"1947","1947","BOS",48,"PIT",43,1,0,0
1,"1947","1947","TOR",93,"PRO",96,0,1,0
1,"1947","1947","WCP",84,"PIT",71,1,0,0
1,"1947","1947","DTF",55,"PHW",61,0,1,0
1,"1947","1947","NYK",46,"BOS",52,0,1,0
1,"1947","1947","SLB",71,"DTF",66,1,0,0
1,"1947","1947","CHS",63,"PHW",57,1,0,0
1,"1947","1947","TOR",82,"CLR",88,0,1,0
1,"1947","1947","PIT",71,"PRO",63,1,0,0
1,"1947","1947","BOS",57,"WCP",80,0,1,0
1,"1947","1947","CLR",80,"TOR",70,1,0,0
1,"1947","1947","DTF",73,"PRO",83,0,1,0
1,"1947","1947","NYK",64,"PIT",60,1,0,0
1,"1947","1947","WCP",69,"BOS",57,1,0,0
1,"1947","1947","SLB",70,"PRO",82,0,1,0
1,"1947","1947","PHW",65,"NYK",58,1,0,0
1,"1947","1947","BOS",66,"PIT",51,1,0,0
1,"1947","1947","TOR",83,"WCP",74,1,0,0
1,"1947","1947","PRO",89,"PIT",73,1,0,0
1,"1947","1947","NYK",63,"PHW",71,0,1,0
1,"1947","1947","SLB",70,"CLR",48,1,0,0
1,"1947","1947","CLR",81,"WCP",107,0,1,0
1,"1947","1947","CHS",90,"TOR",75,1,0,0
1,"1947","1947","DTF",65,"NYK",63,1,0,0
1,"1947","1947","PIT",68,"SLB",63,1,0,0
1,"1947","1947","PHW",61,"BOS",55,1,0,0
1,"1947","1947","PHW",75,"PRO",68,1,0,0
1,"1947","1947","PIT",55,"TOR",58,0,1,0
1,"1947","1947","DTF",46,"WCP",67,0,1,0
1,"1947","1947","NYK",46,"SLB",71,0,1,0
1,"1947","1947","CHS",109,"PIT",85,1,0,0
1,"1947","1947","PRO",65,"SLB",73,0,1,0
1,"1947","1947","PHW",79,"TOR",61,1,0,0
1,"1947","1947","BOS",49,"NYK",48,1,0,0
1,"1947","1947","SLB",65,"WCP",68,0,1,0
1,"1947","1947","DTF",64,"PIT",58,1,0,0
1,"1947","1947","PRO",67,"PHW",58,1,0,0
1,"1947","1947","NYK",69,"TOR",46,1,0,0
1,"1947","1947","CLR",69,"DTF",74,0,1,0
1,"1947","1947","CHS",85,"WCP",67,1,0,0
1,"1947","1947","PIT",75,"WCP",69,1,0,0
1,"1947","1947","CLR",85,"PRO",76,1,0,0
1,"1947","1947","PHW",75,"SLB",59,1,0,0
1,"1947","1947","PIT",82,"CHS",101,0,1,0
1,"1947","1947","NYK",78,"WCP",72,1,0,0
1,"1947","1947","DTF",84,"PRO",64,1,0,0
1,"1947","1947","CHS",81,"PRO",79,1,0,0
1,"1947","1947","BOS",64,"SLB",54,1,0,0
1,"1947","1947","PHW",61,"CLR",48,1,0,0
1,"1947","1947","TOR",84,"PIT",73,1,0,0
1,"1947","1947","NYK",84,"CLR",90,0,1,0
1,"1947","1947","PRO",82,"PIT",72,1,0,0
1,"1947","1947","WCP",70,"PHW",60,1,0,0
1,"1947","1947","CHS",84,"BOS",77,1,0,0
1,"1947","1947","CLR",75,"PHW",71,1,0,0
1,"1947","1947","SLB",80,"TOR",64,1,0,0
1,"1947","1947","DTF",58,"NYK",66,0,1,0
1,"1947","1947","PIT",63,"DTF",59,1,0,0
1,"1947","1947","CLR",84,"BOS",73,1,0,0
1,"1947","1947","TOR",65,"SLB",57,1,0,0
1,"1947","1947","NYK",62,"PRO",69,0,1,0
1,"1947","1947","WCP",69,"TOR",59,1,0,0
1,"1947","1947","DTF",51,"BOS",57,0,1,0
1,"1947","1947","CHS",74,"DTF",76,0,1,0
1,"1947","1947","PRO",74,"WCP",82,0,1,0
1,"1947","1947","PHW",78,"PIT",66,1,0,0
1,"1947","1947","TOR",67,"BOS",61,1,0,0
1,"1947","1947","SLB",65,"CHS",60,1,0,0
1,"1947","1947","NYK",77,"PIT",49,1,0,0
1,"1947","1947","PRO",85,"CLR",77,1,0,0
1,"1947","1947","WCP",93,"PIT",61,1,0,0
1,"1947","1947","CLR",83,"WCP",91,0,1,0
1,"1947","1947","CHS",82,"NYK",68,1,0,0
1,"1947","1947","SLB",71,"PHW",66,1,0,0
1,"1947","1947","BOS",55,"PRO",67,0,1,0
1,"1947","1947","DTF",61,"TOR",52,1,0,0
1,"1947","1947","PIT",67,"PHW",69,0,1,0
1,"1947","1947","WCP",83,"BOS",59,1,0,0
1,"1947","1947","CLR",76,"SLB",96,0,1,0
1,"1947","1947","TOR",83,"PRO",60,1,0,0
1,"1947","1947","DTF",68,"CHS",72,0,1,0
1,"1947","1947","PHW",75,"SLB",65,1,0,0
1,"1947","1947","NYK",60,"WCP",84,0,1,0
1,"1947","1947","PIT",53,"CLR",74,0,1,0
1,"1947","1947","PRO",65,"NYK",73,0,1,0
1,"1947","1947","TOR",77,"PHW",69,1,0,0
1,"1947","1947","BOS",69,"CLR",62,1,0,0
1,"1947","1947","PRO",80,"DTF",74,1,0,0
1,"1947","1947","WCP",75,"BOS",52,1,0,0
1,"1947","1947","NYK",63,"TOR",48,1,0,0
1,"1947","1947","CHS",98,"SLB",86,1,0,0
1,"1947","1947","CLR",72,"PHW",69,1,0,0
1,"1947","1947","SLB",71,"PRO",70,1,0,0
1,"1947","1947","PIT",66,"CHS",69,0,1,0
1,"1947","1947","PHW",76,"TOR",66,1,0,0
1,"1947","1947","CLR",82,"PRO",76,1,0,0
1,"1947","1947","WCP",99,"DTF",67,1,0,0
1,"1947","1947","PIT",60,"TOR",63,0,1,0
1,"1947","1947","CHS",72,"PIT",71,1,0,0
1,"1947","1947","BOS",74,"DTF",65,1,0,0
1,"1947","1947","PHW",59,"NYK",61,0,1,0
1,"1947","1947","TOR",70,"WCP",86,0,1,0
1,"1947","1947","CHS",107,"PRO",81,1,0,0
1,"1947","1947","WCP",74,"SLB",73,1,0,0
1,"1947","1947","BOS",67,"TOR",65,1,0,0
1,"1947","1947","NYK",64,"DTF",61,1,0,0
1,"1947","1947","CLR",77,"CHS",107,0,1,0
1,"1947","1947","BOS",70,"PRO",87,0,1,0
1,"1947","1947","PHW",77,"WCP",80,0,1,0
1,"1947","1947","CLR",78,"PIT",72,1,0,0
1,"1947","1947","TOR",79,"SLB",71,1,0,0
1,"1947","1947","DTF",81,"CLR",89,0,1,0
1,"1947","1947","BOS",69,"TOR",57,1,0,0
1,"1947","1947","NYK",78,"SLB",74,1,0,0
1,"1947","1947","CHS",69,"WCP",86,0,1,0
1,"1947","1947","PRO",71,"TOR",64,1,0,0
1,"1947","1947","PHW",81,"BOS",57,1,0,0
1,"1947","1947","CHS",70,"PHW",67,1,0,0
1,"1947","1947","WCP",78,"NYK",63,1,0,0
1,"1947","1947","PRO",60,"SLB",56,1,0,0
1,"1947","1947","CLR",69,"NYK",81,0,1,0
1,"1947","1947","DTF",61,"PHW",67,0,1,0
1,"1947","1947","TOR",64,"PIT",70,0,1,0
1,"1947","1947","DTF",59,"SLB",68,0,1,0
1,"1947","1947","BOS",58,"CLR",67,0,1,0
1,"1947","1947","WCP",96,"PRO",95,1,0,0
1,"1947","1947","CHS",57,"NYK",65,0,1,0
1,"1947","1947","PIT",54,"SLB",79,0,1,0
1,"1947","1947","PHW",77,"DTF",75,1,0,0
1,"1947","1947","PRO",76,"CLR",73,1,0,0
1,"1947","1947","SLB",51,"NYK",49,1,0,0
1,"1947","1947","TOR",83,"CHS",99,0,1,0
1,"1947","1947","PRO",82,"PHW",103,0,1,0
1,"1947","1947","DTF",85,"PIT",65,1,0,0
1,"1947","1947","WCP",63,"NYK",68,0,1,0
1,"1947","1947","CHS",58,"CLR",67,0,1,0
1,"1947","1947","CLR",69,"DTF",63,1,0,0
1,"1947","1947","SLB",60,"TOR",40,1,0,0
1,"1947","1947","BOS",69,"CHS",80,0,1,0
1,"1947","1947","PIT",51,"NYK",65,0,1,0
1,"1947","1947","CLR",72,"BOS",64,1,0,0
1,"1947","1947","NYK",91,"PRO",84,1,0,0
1,"1947","1947","WCP",105,"CHS",77,1,0,0
1,"1947","1947","DTF",63,"SLB",67,0,1,0
1,"1947","1947","PIT",61,"BOS",74,0,1,0
1,"1947","1947","PHW",80,"CHS",73,1,0,0
1,"1947","1947","TOR",71,"NYK",61,1,0,0
1,"1947","1947","PRO",83,"CHS",79,1,0,0
1,"1947","1947","WCP",79,"CLR",69,1,0,0
1,"1947","1947","DTF",66,"TOR",63,1,0,0
1,"1947","1947","SLB",59,"BOS",55,1,0,0
1,"1947","1947","PHW",76,"NYK",72,1,0,0
1,"1947","1947","CLR",66,"BOS",71,0,1,0
1,"1947","1947","CHS",73,"SLB",66,1,0,0
0,"1947","1947","CLR",77,"NYK",51,1,0,0
0,"1947","1947","PHW",73,"SLB",68,1,0,0
0,"1947","1947","WCP",65,"CHS",81,0,1,0
0,"1947","1947","WCP",53,"CHS",69,0,1,0
0,"1947","1947","NYK",86,"CLR",74,1,0,0
0,"1947","1947","SLB",73,"PHW",51,1,0,0
0,"1947","1947","SLB",59,"PHW",75,0,1,0
0,"1947","1947","CHS",67,"WCP",55,1,0,0
0,"1947","1947","NYK",93,"CLR",71,1,0,0
0,"1947","1947","WCP",76,"CHS",69,1,0,0
0,"1947","1947","PHW",82,"NYK",70,1,0,0
0,"1947","1947","CHS",55,"WCP",67,0,1,0
0,"1947","1947","CHS",66,"WCP",61,1,0,0
0,"1947","1947","NYK",53,"PHW",72,0,1,0
0,"1947","1947","PHW",84,"CHS",71,1,0,0
0,"1947","1947","PHW",85,"CHS",75,1,0,0
0,"1947","1947","CHS",72,"PHW",75,0,1,0
0,"1947","1947","CHS",74,"PHW",73,1,0,0
0,"1947","1947","PHW",83,"CHS",80,1,0,0
1,"1948","1947","WCP",63,"BAB",55,1,0,0
1,"1948","1947","BAB",85,"BOS",74,1,0,0
1,"1948","1947","CHS",80,"SLB",70,1,0,0
1,"1948","1947","NYK",80,"WCP",65,1,0,0
1,"1948","1947","PHW",79,"PRO",64,1,0,0
1,"1948","1947","BOS",74,"PHW",79,0,1,0
1,"1948","1947","PRO",78,"PHW",80,0,1,0
1,"1948","1947","BOS",73,"WCP",69,1,0,0
1,"1948","1947","NYK",73,"SLB",67,1,0,0
1,"1948","1947","CHS",63,"BAB",67,0,1,0
1,"1948","1947","PRO",69,"NYK",87,0,1,0
1,"1948","1947","BOS",50,"SLB",65,0,1,0
1,"1948","1947","WCP",74,"PHW",67,1,0,0
1,"1948","1947","NYK",63,"CHS",81,0,1,0
1,"1948","1947","CHS",81,"WCP",77,1,0,0
1,"1948","1947","SLB",73,"PRO",67,1,0,0
1,"1948","1947","PHW",57,"BOS",67,0,1,0
1,"1948","1947","BAB",68,"NYK",56,1,0,0
1,"1948","1947","BOS",73,"BAB",89,0,1,0
1,"1948","1947","NYK",78,"PHW",83,0,1,0
1,"1948","1947","BAB",75,"CHS",72,1,0,0
1,"1948","1947","BOS",65,"PRO",62,1,0,0
1,"1948","1947","SLB",70,"WCP",62,1,0,0
1,"1948","1947","BOS",75,"NYK",91,0,1,0
1,"1948","1947","WCP",83,"SLB",64,1,0,0
1,"1948","1947","NYK",63,"BOS",65,0,1,0
1,"1948","1947","PRO",61,"BAB",76,0,1,0
1,"1948","1947","PHW",59,"NYK",81,0,1,0
1,"1948","1947","BOS",92,"WCP",83,1,0,0
1,"1948","1947","CHS",75,"PHW",71,1,0,0
1,"1948","1947","WCP",78,"PRO",85,0,1,0
1,"1948","1947","SLB",67,"BAB",71,0,1,0
1,"1948","1947","NYK",62,"WCP",70,0,1,0
1,"1948","1947","BOS",69,"BAB",77,0,1,0
1,"1948","1947","PRO",66,"SLB",86,0,1,0
1,"1948","1947","CHS",81,"WCP",73,1,0,0
1,"1948","1947","PHW",58,"BAB",73,0,1,0
1,"1948","1947","BAB",51,"SLB",65,0,1,0
1,"1948","1947","BOS",73,"PRO",69,1,0,0
1,"1948","1947","PRO",85,"NYK",114,0,1,0
1,"1948","1947","CHS",73,"BAB",65,1,0,0
1,"1948","1947","NYK",71,"SLB",56,1,0,0
1,"1948","1947","PHW",78,"PRO",74,1,0,0
1,"1948","1947","BOS",75,"NYK",79,0,1,0
1,"1948","1947","BAB",69,"WCP",71,0,1,0
1,"1948","1947","PHW",69,"SLB",74,0,1,0
1,"1948","1947","CHS",75,"SLB",85,0,1,0
1,"1948","1947","BOS",69,"PHW",67,1,0,0
1,"1948","1947","WCP",88,"PRO",72,1,0,0
1,"1948","1947","BAB",66,"NYK",80,0,1,0
1,"1948","1947","NYK",71,"PHW",74,0,1,0
1,"1948","1947","BOS",67,"PRO",66,1,0,0
1,"1948","1947","WCP",66,"BAB",64,1,0,0
1,"1948","1947","PHW",71,"NYK",99,0,1,0
1,"1948","1947","BAB",74,"SLB",67,1,0,0
1,"1948","1947","CHS",64,"WCP",70,0,1,0
1,"1948","1947","BOS",78,"SLB",70,1,0,0
1,"1948","1947","PRO",74,"PHW",80,0,1,0
1,"1948","1947","NYK",70,"BOS",58,1,0,0
1,"1948","1947","WCP",52,"SLB",55,0,1,0
1,"1948","1947","CHS",93,"BAB",83,1,0,0
1,"1948","1947","BOS",75,"CHS",83,0,1,0
1,"1948","1947","PRO",66,"NYK",58,1,0,0
1,"1948","1947","NYK",89,"PRO",75,1,0,0
1,"1948","1947","BAB",87,"CHS",70,1,0,0
1,"1948","1947","SLB",56,"WCP",73,0,1,0
1,"1948","1947","PHW",89,"PRO",61,1,0,0
1,"1948","1947","WCP",72,"PHW",70,1,0,0
1,"1948","1947","NYK",70,"CHS",79,0,1,0
1,"1948","1947","BOS",74,"PRO",63,1,0,0
1,"1948","1947","SLB",67,"BAB",63,1,0,0
1,"1948","1947","PRO",73,"CHS",85,0,1,0
1,"1948","1947","BOS",70,"PHW",64,1,0,0
1,"1948","1948","BAB",60,"PHW",72,0,1,0
1,"1948","1948","SLB",58,"BOS",48,1,0,0
1,"1948","1948","PHW",69,"WCP",60,1,0,0
1,"1948","1948","PRO",76,"CHS",79,0,1,0
1,"1948","1948","NYK",70,"BAB",79,0,1,0
1,"1948","1948","WCP",95,"BOS",60,1,0,0
1,"1948","1948","SLB",80,"PHW",66,1,0,0
1,"1948","1948","BAB",82,"PRO",64,1,0,0
1,"1948","1948","NYK",74,"CHS",79,0,1,0
1,"1948","1948","BAB",78,"CHS",75,1,0,0
1,"1948","1948","SLB",76,"WCP",73,1,0,0
1,"1948","1948","PHW",60,"CHS",77,0,1,0
