WinPct,HomeWinPct,BlowoutWinPct,AvgPointDiff,SdPointDiff,PPG,Last5WinPct,AvgOppWinPct,madePlayoffs
0.20833333333333334,0.36363636363636365,0,-6.458333333333333,9.002314517204265,58.916666666666664,0,0.5038194444444444,no
0.64,0.6666666666666666,0.125,3.04,8.786732422616877,72.88,0.6,0.46759999999999996,yes
0.4583333333333333,0.5833333333333334,0.36363636363636365,0,11.713982725971036,67.91666666666667,0.2,0.53,yes
0.3333333333333333,0.42857142857142855,0.25,-0.4583333333333333,10.930528316388111,61.333333333333336,0,0.5131249999999999,no
0.6666666666666666,0.8181818181818182,0.25,2.125,11.558217479540165,64.375,0.4,0.47729166666666667,yes
0.5416666666666666,0.6923076923076923,0,1.0833333333333333,9.050182158467821,64.75,0.4,0.4847222222222222,yes
0.2916666666666667,0.36363636363636365,0,-3.5,7.9235477341688405,58.666666666666664,0.4,0.5131249999999999,no
0.4583333333333333,0.6,0.09090909090909091,-2.0833333333333335,10.578553639389899,68.66666666666667,0.4,0.5052083333333334,no
0.72,0.6923076923076923,0,1.4,8.80814017448254,62.88,1,0.4612,yes
0.375,0.38461538461538464,0.1111111111111111,-3.875,9.705724442643204,65.04166666666667,0.6,0.49256944444444445,no
0.7916666666666666,1,0.47368421052631576,8.958333333333334,11.039372881789454,68,0.6,0.48409722222222223,yes
0.55,0.5555555555555556,0.36363636363636365,1.9,10.587480193233198,70.9,0.4,0.575,yes
0.55,0.5625,0,-1.75,9.066276436390666,70.8,0.6,0.47250000000000003,yes
0.7,0.7,0.14285714285714285,4.3,9.044335243676011,78.2,0.8,0.515,yes
0.6,0.45454545454545453,0.5833333333333334,6.4,13.808464223458245,76.75,0.6,0.47000000000000003,yes
0.5,0.4444444444444444,0.2,-0.6,12.708886240488747,71.8,0.6,0.4575,yes
0.1,0.1111111111111111,0,-9.6,10.033627669518454,70.3,0,0.5675,no
0.6,0.75,0.16666666666666666,1.3,11.429877744891145,68.55,0.8,0.52,yes
0.55,0.7777777777777778,0.36363636363636365,2.75,12.160657011336534,72.2,0.6,0.535,yes
0.4583333333333333,0.4444444444444444,0.18181818181818182,0.3333333333333333,10.436835546844842,79.08333333333333,0.6,0.4756944444444444,yes
0.4166666666666667,0.6363636363636364,0.1,-3.7083333333333335,11.203567625369692,74.375,0.4,0.4895833333333333,no
0.625,0.6363636363636364,0,3,7.052597424692736,83.91666666666667,0.6,0.4479166666666667,yes
0.3333333333333333,0.45454545454545453,0.25,-2.0833333333333335,9.788709852667518,73.79166666666667,0.2,0.4704861111111111,no
0.20833333333333334,0.3333333333333333,0.4,-5.625,9.590813086082635,73.95833333333333,0.2,0.5173611111111112,no
0.5833333333333334,0.7,0.42857142857142855,4.708333333333333,13.982844043192067,82.58333333333333,0.6,0.4878472222222222,yes
0.6666666666666666,0.6923076923076923,0.1875,3.9583333333333335,9.728841776842739,77,0.6,0.4184027777777778,yes
0.375,0.5454545454545454,0.1111111111111111,-0.3333333333333333,9.959337618391167,80.66666666666667,0.8,0.4809027777777778,yes
0.125,0.0625,0,-10.75,10.292462417162167,78.625,0.2,0.5520833333333334,no
0.6666666666666666,0.75,0.3125,5.458333333333333,12.642162606228368,84.95833333333333,0.4,0.4826388888888889,yes
0.4166666666666667,0.6153846153846154,0,-2.9166666666666665,11.627989719961754,75.375,0.4,0.4878472222222222,yes
0.875,1,0.19047619047619047,6.875,10.079305100270942,81.04166666666667,0.8,0.3836805555555556,yes
0.6153846153846154,0.6470588235294118,0.1875,4.115384615384615,10.572897135892028,88.61538461538461,0.4,0.48683009298393914,yes
0.39285714285714285,0.46153846153846156,0.2727272727272727,-4.285714285714286,12.495501836163529,73.32142857142857,0.2,0.4654513343799058,no
0.32142857142857145,0.5,0.4444444444444444,-1.5714285714285714,13.334523756382294,81.96428571428571,0.4,0.5049293563579278,no
0.5357142857142857,0.6875,0.3333333333333333,4.428571428571429,13.945472042071236,79.14285714285714,0.4,0.4934458398744113,yes
0.12,0.375,0,-11.72,12.081390648431166,70.16,0,0.5248791208791208,no
0.6071428571428571,0.9333333333333333,0.35294117647058826,1.6428571428571428,14.029636054819377,81.10714285714286,0.6,0.4614678178963893,yes
0.5769230769230769,0.8333333333333334,0.4,-0.15384615384615385,17.210908884059105,81.6923076923077,0.8,0.45677937447168215,yes
0.6071428571428571,0.8181818181818182,0.35294117647058826,3.107142857142857,15.002072167276403,83,0.6,0.46020015698587124,yes
0.6428571428571429,0.7,0.3888888888888889,3.9642857142857144,12.882609992219752,81.17857142857143,0.6,0.4800706436420722,yes
0.2857142857142857,0.35714285714285715,0.25,-4.25,13.257073583562851,72.17857142857143,0.4,0.5007810047095761,yes
0.7142857142857143,1,0.65,9.714285714285714,15.084593913823916,85.53571428571429,1,0.45971350078492934,yes
0.48,0.5625,0.25,-3,12.858201014657274,84.76,0.6,0.47842637362637364,yes
0.42857142857142855,0.5833333333333334,0.3333333333333333,-0.6428571428571429,15.587778417043141,73.35714285714286,0.4,0.47864992150706437,no
0.8846153846153846,1,0.391304347826087,11.5,10.722872749408156,85.57692307692308,1,0.42006339814032123,yes
0.2692307692307692,0.5,0.2857142857142857,-4.230769230769231,12.407441935572997,80.76923076923077,0,0.5254015215553677,yes
0.2,0.38461538461538464,0.4,-7.28,14.435257762390897,76.24,0,0.49013186813186815,no
0.5,0.6470588235294118,0.42857142857142855,-0.14285714285714285,13.599330826985529,76.21428571428571,0.6,0.5106632653061225,yes
0.37037037037037035,0.6666666666666666,0.3,-2.5555555555555554,14.091277534847668,79.33333333333333,0.6,0.5059768763472468,no
0.5,0.6666666666666666,0.07142857142857142,-1.0714285714285714,12.610778962131802,82.64285714285714,0.6,0.46480536659108085,yes
0.5357142857142857,0.9230769230769231,0.26666666666666666,-2.0357142857142856,15.435606127001833,78.96428571428571,0.4,0.48630007558578986,yes
0.4642857142857143,0.75,0.23076923076923078,-1.75,15.452735584259411,81.5,0.2,0.4876228269085412,yes
0.5714285714285714,0.8461538461538461,0.3125,5.035714285714286,10.386893960061697,78.89285714285714,0.4,0.4821900982615268,yes
0.5185185185185185,0.75,0.21428571428571427,1.1111111111111112,12.264185925297138,86.07407407407408,0.6,0.47868900646678425,yes
0.5185185185185185,0.8,0.2857142857142857,1.3333333333333333,11.867862227299145,83.29629629629629,0.4,0.49559082892416223,yes
0.6428571428571429,0.8571428571428571,0.3333333333333333,4.571428571428571,11.292175499576134,82.39285714285714,1,0.47482048374905517,yes
0.48148148148148145,0.6923076923076923,0.23076923076923078,0.07407407407407407,13.0499806245831,83,0.2,0.4844209288653733,yes
0.42857142857142855,0.625,0.25,-1.25,12.706443393164891,80.39285714285714,0.8,0.4922996976568405,no
